0,21,0
1,14,1
2,11,1
3,21,2
4,29,3
5,13,1
6,16,2
7,20,2
8,13,1
9,21,6
10,20,4
11,34,0
12,18,3
13,17,0
14,25,2
15,21,2
16,17,3
17,24,3
18,22,3
19,24,4
20,11,2
21,17,4
22,20,4
23,15,6
24,16,6
25,13,4
26,20,8
27,19,7
28,19,14
29,13,11
30,21,22
31,21,14
32,17,27
33,26,26
34,21,38
35,24,41
36,22,55
37,22,97
38,28,118
39,38,119
40,26,139
41,29,241
42,36,273
43,32,333
44,43,434
45,50,502
46,56,614
47,58,791
48,79,994
49,76,1183
50,98,1441
51,107,1680
52,108,1994
53,133,2516
54,162,2939
55,158,3602
56,182,4104
57,226,4917
58,252,5719
59,275,6636
60,323,7825
61,356,8730
62,371,9957
63,418,11113
64,448,12413
65,446,13759
66,523,15084
67,606,16545
68,598,17833
69,718,19234
70,706,20068
71,845,21692
72,870,23019
73,887,24287
74,899,25395
75,1024,27189
76,1151,28933
77,1151,30885
78,1240,32290
79,1347,35269
80,1369,36412
81,1436,39001
82,1538,40828
83,1631,42388
84,1647,44747
85,1769,46551
86,1889,48623
87,1841,49281
88,1895,50017
89,1928,49733
90,1995,49576
91,2085,48250
92,2030,46340
93,2190,44839
94,2072,42504
95,2077,38376
96,2052,36137
97,2040,33318
98,1954,29704
99,1990,26480
100,1985,23781
101,1911,20634
102,1938,18321
103,1920,15963
104,1920,13548
105,1844,12029
106,1749,10347
107,1731,8828
108,1776,7798
109,1719,6810
110,1661,6244
111,1692,5489
112,1622,4947
113,1600,4591
114,1541,4226
115,1549,4051
116,1541,3940
117,1471,3853
118,1468,3721
119,1447,3668
120,1432,3733
121,1381,3634
122,1357,3745
123,1334,3855
124,1308,3920
125,1349,3910
126,1355,4094
127,1297,4012
128,1318,4066
129,1330,4162
130,1279,4404
131,1250,4464
132,1237,4366
133,1227,4551
134,1293,4481
135,1286,4521
136,1258,4406
137,1194,4508
138,1238,4513
139,1196,4294
140,1155,4368
141,1136,4227
142,1162,4227
143,1150,4146
144,1142,4129
145,1124,3858
146,1181,3818
147,1156,3635
148,1100,3577
149,1146,3451
150,1063,3231
151,1033,3152
152,1054,3113
153,983,2863
154,1053,2737
155,996,2668
156,1077,2488
157,981,2432
158,1006,2187
159,999,2122
160,960,2032
161,986,1829
162,988,1732
163,913,1648
164,912,1533
165,932,1477
166,868,1354
167,890,1180
